Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"REF**,REF**",MountingHole_6.4mm_M6,2,MountingHole_6.4mm_M6,
2,B1,JST_RA_SMT,1,JS_2_Battery,
3,BT1,12BH062-GR,1,Battery_Cell,
4,"C1,C4",C_0603,2,18pF,
5,"C2,C13,C15,C16,C18,C21",C_0603,6,1uF,
6,"C3,C5,C8,C9,C10,C11",C_0603,6,0.1uF,
7,C6,C_0603,1,0.15uF,
8,"C7,C12,C20",C_0603,3,10uF,
9,C14,C_0603,1,22uF 6.3V,
10,C17,C_0603,1,4.7uF 50V,
11,C19,C_0603,1,470pF 50V,
12,"D1,D2",C_0603,2,LED,
13,D3,C_0603,1,500mA 30V,
14,J2,10118193_microUSB,1,USB_OTG,
15,"Q1,Q3",SOT-23,2,BSS84,
16,"Q2,Q4",SOT-23,2,BSS138,
17,"R1,R4,R5,R6,R9,R10",C_0603,6,10k,
18,R2,C_0603,1,680R,
19,"R3,R14",C_0603,2,10K,
20,"R7,R8",C_0603,2,100K,
21,R11,C_0603,1,1k,
22,R12,C_0603,1,1K,
23,R13,C_0603,1,R,
24,R15,C_0603,1,150K,
25,"SW1,SW2,SW4",PTS810,3,TACT_SWITCH,
26,U1,SOIC-8-N,1,DS3231M,
27,U2,SOT-363_SC-70-6,1,74HC2G14,
28,U3,SOIC-28,1,PIC32MX250F128B,
29,U4,SOT-23-5,1,MCP73831,
30,U5,SO-20_12.8x7.5mm_Pitch1.27mm,1,MAX6920,
31,"U6,U8",SOT-23-5,2,MIC5317,
32,U7,SOT-23-5,1,LMR62421,
33,VFD1,IVL2-7-5,1,ILV2-7/5,
34,Y1,IQD_HC49_XTAL,1,8MHz,
35,SW3,PCM12SMTR,1,PCM12SMTR,
36,J1,Pin_Header_Straight_1x05_Pitch2.54mm,1,CONN_01X05,
37,L1,C_1210,1,10uH 1.2A,
